smiles,name,drugname,description,drugbank_id,PubChem_CID
CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,Iohexol,Iohexol,Iohexol is a contrast agent for intrathecal administration used in myelography and contrast enhancement for computerized tomography.,DB01362,3730.0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,Deferoxamine,Deferoxamine,Deferoxamine is a chelating agent used to treat iron or aluminum toxicity and some blood transfusion dependent anemias.,DB00746,2973.0
CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,Ketoconazole,Ketoconazole,Ketoconazole is a broad spectrum antifungal used to treat seborrheic dermatitis and fungal skin infections.,DB01026,3823.0
CC(=O)NC1=CC=C(O)C=C1,Acetaminophen,Acetaminophen,"Acetaminophen is an analgesic drug used alone or in combination with opioids for pain management, and as an antipyretic agent.",DB00316,1983.0
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Acetazolamide,Acetazolamide,"One of the carbonic anhydrase inhibitors that is sometimes effective against absence seizures. It is sometimes useful also as an adjunct in the treatment of tonic-clonic, myoclonic, and atonic seizures, particularly in women whose seizures occur or are exacerbated at specific times in the menstrual cycle. However, its usefulness is transient often because of rapid development of tolerance. Its antiepileptic effect may be due to its inhibitory effect on brain carbonic anhydrase, which leads to an increased transneuronal chloride gradient, increased chloride current, and increased inhibition. (From Smith and Reynard, Textbook of Pharmacology, 1991, p337)",DB00819,1986.0
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,Linezolid,Linezolid,Linezolid is an oxazolidinone antibiotic used to treat infections by susceptible strains of aerobic Gram-positive bacteria.,DB00601,441401.0
CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Sulfacetamide,Sulfacetamide (ophthalmic),Sulfacetamide is a corticosteroid used to treat inflammatory ocular conditions and acne vulgaris.,DB00634,5320.0
CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,Prasugrel,Prasugrel,"Prasugrel is a P2Y12 platelet inhibitor used to reduce risk of thrombotic cardiovascular events in unstable angina or non-ST-elevation myocardial infarction (NSTEMI), and in patients with STEMI when managed with either primary or delayed PCI.",DB06209,6918456.0
CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,Bisacodyl,Bisacodyl,Bisacodyl is a stimulant laxative used for the temporary relief of occasional constipation and cleansing of the colon as a preparation for colonoscopy in adults.,DB09020,2391.0
CC(=O)OC1=CC=CC=C1C(O)=O,Acetylsalicylic acid,Acetylsalicylic acid,"Aspirin is a salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events.",DB00945,2244.0
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,Famciclovir,Famciclovir,"Famciclovir is a nucleoside analog DNA polymerase inhibitor used for the treatment of recurrent cold sores and genital herpes in healthy patients and patients with HIV, and to manage herpes zoster.",DB00426,3324.0
CC(=O)OCC[N+](C)(C)C,Acetylcholine,Acetylcholine,"Acetylcholine is a parasympathomimetic neurotransmitter used to induce miosis of the iris in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy and other anterior segment surgery where rapid miosis may be required.",DB03128,187.0
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,Ketoprofen,Ketoprofen,"Ketoprofen is an NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, dysmenorrhea, mild to moderate muscle pain, postoperative pain, and postpartum pain.",DB01009,3825.0
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,Flurbiprofen,Flurbiprofen,Flurbiprofen is an NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.,DB00712,3394.0
CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,Fenoprofen,Fenoprofen,Fenoprofen is an anti-inflammatory analgesic used to treat mild to moderate pain in addition to the signs and symptoms of rheumatoid arthritis and osteoarthritis.,DB00573,3342.0
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,Suprofen,Suprofen (ophthalmic),Suprofen is an NSAID used to prevent pupil constriction in ocular surgery.,DB00870,5359.0
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,Anastrozole,Anastrozole,"Anastrozole is a competitive, selective, non-steroidal aromatase inhibitor used as adjuvant therapy for the treatment of hormone receptor-positive breast cancer in postmenopausal women.",DB01217,2187.0
CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,Metyrapone,Metyrapone,Metyrapone is a steroid 11-beta-monooxygenase inhibitor used to test hypothalamic-pituitary ACTH function.,DB01011,4174.0
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Fexofenadine,Fexofenadine,Fexofenadine is a selective H1-antagonist for the symptomatic treatment of seasonal allergic rhinitis and chronic idiopathic urticaria.,DB00950,3348.0
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,Adefovir dipivoxil,Adefovir dipivoxil,Adefovir dipivoxil is a nucleotide analog used to treat chronic hepatitis B.,DB00718,60871.0
CC(C)(C)C(O)\C=C\C1=CC2=C(OCO2)C=C1,Stiripentol,Stiripentol,Stiripentol is an anticonvulsant agent used with clobazam and valproate as an adjunct to treat refractory generalized tonic-clonic seizures in Dravet syndrome.,DB09118,5311454.0
CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,Ivacaftor,Ivacaftor,Ivacaftor is a cystic fibrosis transmembrane conductance regulator (CFTR) potentiator used alone or in combination products to treat cystic fibrosis in patients who have specific genetic mutations that are responsive to the medication.,DB08820,16220172.0
CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Terfenadine,Terfenadine,Terfenadine is an antihistamine for the treatment of allergy symptoms.,DB00342,5405.0
CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,Dabrafenib,Dabrafenib,"Dabrafenib is a kinase inhibitor used to treat patients with specific types of melanoma, non-small cell lung cancer, and thyroid cancer.",DB08912,44462760.0
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,Indinavir,Indinavir,Indinavir is a protease inhibitor used to treat HIV infection.,DB00224,5362440.0
CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,Salbutamol,Salbutamol,"Salbutamol is a beta-2 adrenergic receptor agonist used to treat asthma, bronchitis, COPD, as well as prevent exercise induced bronchospasms.",DB01001,2083.0
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,Terbutaline,Terbutaline,Terbutaline is a beta-2 adrenergic agonist used as a bronchodilator and to prevent premature labor.,DB00871,5403.0
CC(C)(C)NCC(O)C1=NC(CO)=C(O)C=C1,Pirbuterol,Pirbuterol,Pirbuterol is a beta-2 adrenergic agonist and bronchodilator used for the symptomatic treatment of asthma.,DB01291,4845.0
CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,Carteolol,Carteolol,"Carteolol is a beta adrenergic antagonist used to treat arrhythmia, angina, hypertension, and glaucoma.",DB00521,2583.0
CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2,Nadolol,Nadolol,"Nadolol is a non-selective beta-adrenergic antagonist used for the management of arrhythmias, angina pectoris, and hypertension.",DB01203,39147.0
CC(C)(C)NC[C@H](O)C1=CC(CO)=C(O)C=C1,Levosalbutamol,Levosalbutamol,Levosalbutamol is a beta-2 adrenergic receptor agonist used to treat COPD and asthma.,DB13139,123600.0
CC(C)(C)NC[C@H](O)COC1=CC=CC2=C1CCCC2=O,Levobunolol,Levobunolol,Levobunolol is a beta-adrenergic antagonist used for the reduction of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.,DB01210,39468.0
CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1,Penbutolol,Penbutolol,"Penbutolol is a beta-adrenergic antagonist used for the management of mild to moderate arterial hypertension, alone or in combination with other antihypertensive agents.",DB01359,37464.0
CC(C)(N)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)NC=O,Macimorelin,Macimorelin,Macimorelin is a medication used to treat adult growth hormone deficiency.,DB13074,
CC(C)(N)CC1=CC=CC=C1,Phentermine,Phentermine,Phentermine is a sympathomimetic anorectic agent used as a short-term adjunct therapy that is included in a regimen of weight reduction in cases of exogenous obesity.,DB00191,4771.0
CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=NC(=CC=C1)C(F)(F)F,Enasidenib,Enasidenib,Enasidenib is an isocitrate dehydrogenase-2 inhibitor used to treat relapsed or refractory acute myeloid leukemia with an isocitrate dehydrogenase-2 mutation.,DB13874,89683805.0
CC(C)(OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1)C(O)=O,Fenofibric acid,Fenofibric acid,"Fenofibric acid is a fibrate used to treat severe hypertriglyceridemia, primary hypercholesterolemia, or mixed dyslipidemia.",DB13873,64929.0
CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,Probucol,Probucol,"A drug used to lower LDL and HDL cholesterol yet has little effect on serum-triglyceride or VLDL cholesterol. (From Martindale, The Extra Pharmacopoeia, 30th ed, p993).",DB01599,4912.0
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,Flutamide,Flutamide,An antiandrogen with about the same potency as cyproterone in rodent and canine species.,DB00499,3397.0
CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,Atorvastatin,Atorvastatin,Atorvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.,DB01076,60823.0
CC(C)C1=CC=CC(C(C)C)=C1O,Propofol,Propofol,Propofol is a medication used in general anesthesia and for sedation.,DB00818,4943.0
CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,Fospropofol,Fospropofol,Fospropofol is a sedative--hypnotic agent indicated for monitored anesthesia care (MAC) sedation in adult patients undergoing diagnostic or therapeutic procedures.,DB06716,3038498.0
CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,Rosuvastatin,Rosuvastatin,Rosuvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.,DB01098,446157.0
CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,Cobicistat,Cobicistat,Cobicistat is a CYP3A inhibitor used to increase the systemic exposure of atazanavir or darunavir in combination with other antiretroviral agents in the treatment of HIV-1 infection.,DB09065,25151504.0
CC(C)C1=NN=C(C)N1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1,Maraviroc,Maraviroc,Maraviroc is a CCR5 co-receptor antagonist used with other antiretroviral medications to treat CCR5-tropic HIV-1 infection.,DB04835,3002977.0
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,Sibutramine,Sibutramine,"Sibutramine is a norepinephrine, serotonin and dopamine reuptake inhibitor indicated to assist with weight loss in obesity.",DB01105,5210.0
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,Butalbital,Butalbital,"Butalbital is a barbiturate drug used for symptomatic treatment of tension-type headache in various combinations with acetaminophen, aspirin, caffeine, and codeine.",DB00241,2481.0
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,Ibuprofen,Ibuprofen,"Ibuprofen is an NSAID and non-selective COX inhibitor used to treat mild-moderate pain, fever, and inflammation.",DB01050,3672.0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Vitamin E,Vitamin E,Vitamin E is an antioxidant vitamin used in many skin creams and multivitamin preparations.,DB00163,14985.0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,Phylloquinone,Phylloquinone,Vitamin K1 is a fat soluble vitamin used to treat hemorrhagic conditions in infants and coumarin overdoses.,DB01022,5284607.0
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Cholecalciferol,Cholecalciferol,"Vitamin D3 is a form of Vitamin D used in the treatment of specific medical conditions such as refractory rickets, hypoparathyroidism, and familial hypophosphatemia, as well as osteoporosis and chronic kidney disease.",DB00169,5280795.0
CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Amprenavir,Amprenavir,Amprenavir is a protease inhibitor used to treat HIV infection.,DB00701,65016.0
CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Fosamprenavir,Fosamprenavir,Fosamprenavir is an antiretroviral agent used for the treatment and postexposure prophylaxis of human immunodeficiency virus (HIV-1) infection.,DB01319,131536.0
CC(C)CN1C=NC2=C1C1=C(C=CC=C1)N=C2N,Imiquimod,Imiquimod,"Imiquimod is a toll-like receptor 7 agonist used to treat non hyperkeratotic, non hypertrophic actinic keratosis, basal cell carcinoma, genital or perianal warts, and condyloma acuminata.",DB00724,57469.0
CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,Febuxostat,Febuxostat,Febuxostat is a xanthine oxidase inhibitor used for the management of chronic hyperuricemia in adults with gout who have an inadequate response or intolerance to allopurinol.,DB04854,134018.0
CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,Pimavanserin,Pimavanserin,Pimavanserin is a second generation atypical antipsychotic used for the treatment of hallucinations and delusions caused by Parkinson's Disease.,DB05316,10071196.0
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,Bepridil,Bepridil,"A long-acting, non selective, calcium channel blocker with significant anti-anginal activity. The drug produces significant coronary vasodilation and modest peripheral effects. It has antihypertensive and selective anti-arrhythmia activities and acts as a calmodulin antagonist. It is no longer marketed in the United States, as it has been implicated in causing ventricular arrhythmias (ie. Torsade de pointes).",DB01244,2351.0
CC(C)C[C@H](CN)CC(O)=O,Pregabalin,Pregabalin,"Pregabalin is an anticonvulsant drug used to treat neuropathic pain conditions and fibromyalgia, and for the treatment of partial onset seizures in combination with other anticonvulsants.",DB00230,5486971.0
CC(C)C[C@H](NC(=O)CNC(=O)C1=CC(Cl)=CC=C1Cl)B(O)O,Ixazomib,Ixazomib,Ixazomib is a monoclonal antibody used with other medications to treat multiple myeloma in patients who have received one other therapy already.,DB09570,25183872.0
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Degarelix,Degarelix,Degarelix is a GnRH receptor antagonist used in the management of advanced prostate cancer.,DB06699,16136245.0
CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,Triptorelin,Triptorelin,Triptorelin is a GnRH agonist indicated for the palliative treatment of advanced prostate cancer.,DB06825,25074470.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin,Goserelin,Goserelin is a synthetic analog of luteinizing hormone-releasing hormone used to treat breast cancer and prostate cancer by reducing secretion of gonadotropins from the pituitary.,DB00014,5311128.0
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,Bortezomib,Bortezomib,Bortezomib is a proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.,DB00188,387447.0
CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,Carfilzomib,Carfilzomib,Carfilzomib is a proteasome inhibitor used either alone or in conjunction with a chemotherapy regimen to treat patients with relapsed or refractory multiple myeloma.,DB08889,11556711.0
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,Disopyramide,Disopyramide,Disopyramide is a class 1A antiarrhythmic agent used to treat life-threatening ventricular arrhythmias.,DB00280,3114.0
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1,Selexipag,Selexipag,Selexipag is a non prostanoid IP prostacyclin receptor agonist used to treat pulmonary arterial hypertension.,DB11362,9913767.0
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,Tolterodine,Tolterodine,"Tolterodine is a muscarinic receptor antagonist used to treat overactive bladder with urinary incontinence, urgency, and frequency.",DB01036,443879.0
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C,Fesoterodine,Fesoterodine,"Fesoterodine is an antimuscarinic agent used in the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and frequency.",DB06702,6918558.0
CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=CC=C(F)C=C2)C2=CC=CC=C12,Fluvastatin,Fluvastatin,Fluvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.,DB01095,1548972.0
CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,Clofazimine,Clofazimine,Clofazimine is a riminophenazine antimycobacterial used to treat leprosy.,DB00845,2794.0
CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1,Proguanil,Proguanil,Proguanil is a medication indicated for prophylaxis and treatment of Plasmodium falciparum malaria.,DB01131,4923.0
CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,Torasemide,Torasemide,"Torasemide is a diuretic used to treat hypertension and edema associated with heart failure, renal failure, or liver disease.",DB00214,41781.0
CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,Delavirdine,Delavirdine,Delavirdine is a non-nucleoside reverse transcriptase inhibitor used to treat HIV infection.,DB00705,5625.0
CC(C)NCC(O)C1=CC(O)=C(O)C=C1,Isoprenaline,Isoprenaline,Isoprenaline is a catecholamine non-selective beta-adrenergic agonist typically used to treat bradycardia and heart block.,DB01064,3779.0
CC(C)NCC(O)C1=CC(O)=CC(O)=C1,Orciprenaline,Orciprenaline,"Orciprenaline is a beta-2 adrenergic agonist used to treat bronchospasm, asthma, and COPD.",DB00816,4086.0
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,Sotalol,Sotalol,Sotalol is a methane sulfonanilide beta adrenergic antagonist used to treat life-threatening ventricular arrhythmias and to maintain sinus rhythm in atrial fibrillation or flutter.,DB00489,5253.0
CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,Metipranolol,Metipranolol (ophthalmic),Metipranolol is a beta-adrenergic antagonist used for the reduction of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.,DB01214,31477.0
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,Atenolol,Atenolol,"Atenolol is a synthetic beta-1 selective blocker used in the management of hypertension and chronic angina, and to reduce mortality in known or suspected myocardial infarction in hemodynamically stable patients.",DB00335,2249.0
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,Betaxolol,Betaxolol,Betaxolol is a cardioselective beta blocking agent commonly used to treat hypertension and elevated intraocular pressure (when administered ophthalmically).,DB00195,2369.0
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,Bisoprolol,Bisoprolol,Bisoprolol is a beta-1 adrenergic blocking agent used to prevent myocardial infarction and heart failure and to treat mild to moderate hypertension.,DB00612,2405.0
CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,Propranolol,Propranolol,"Propranolol is a non-selective beta adrenergic antagonist used to treat hypertension, angina, atrial fibrillation, myocardial infarction, migraine, essential tremor, hypertrophic subaortic stenosis, and pheochromocytoma.",DB00571,4946.0
CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,Pindolol,Pindolol,"Pindolol is a beta adrenoceptor antagonist used to treat hypertension, edema, ventricular tachycardias, and atrial fibrillation.",DB00960,4828.0
CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O,Oxamniquine,Oxamniquine,"An anthelmintic with schistosomicidal activity against Schistosoma mansoni, but not against other Schistosoma spp. Oxamniquine causes worms to shift from the mesenteric veins to the liver where the male worms are retained; the female worms return to the mesentery, but can no longer release eggs. (From Martidale, The Extra Pharmacopoeia, 31st ed, p121)",DB01096,4612.0
CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1,Levobetaxolol,Levobetaxolol (ophthalmic),Levobetaxolol is a beta-blocker used to lower the pressure in the eye to treat conditions such as glaucoma. It was marketed as a 0.5% ophthalmic solution of levobetaxolol hydrochloride under the trade name Betaxon but has been discontinued.,DB09351,60657.0
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,Fenofibrate,Fenofibrate,"Fenofibrate is a peroxisome proliferator receptor alpha activator used to lower LDL-C, total-C, triglycerides, and Apo B, while increasing HDL-C in hypercholesterolemia, dyslipidemia, and hypertriglyceridemia.",DB01039,3339.0
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1,Latanoprost,Latanoprost,Latanoprost is an isopropyl ester prodrug used to treat increased intraocular pressure.,DB00654,5311221.0
