drug,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,TSNE1,TSNE2,cluster_kmeans_5,cluster_kmeans_6,cluster_kmeans_7,cluster_kmeans_8,cluster_kmeans_9,cluster_kmeans_10,cluster_kmeans_11,cluster_kmeans_12,cluster_kmeans_13,cluster_kmeans_14,cluster_kmeans_15,cluster_kmeans_16,cluster_kmeans_17,cluster_kmeans_18,cluster_kmeans_19,cluster_kmeans_20,cluster_birch_5,cluster_birch_6,cluster_birch_7,cluster_birch_8,cluster_birch_9,cluster_birch_10,cluster_birch_11,cluster_birch_12,cluster_birch_13,cluster_birch_14,cluster_birch_15,cluster_birch_16,cluster_birch_17,cluster_birch_18,cluster_birch_19,cluster_birch_20,cluster_agglomerative_5,cluster_agglomerative_6,cluster_agglomerative_7,cluster_agglomerative_8,cluster_agglomerative_9,cluster_agglomerative_10,cluster_agglomerative_11,cluster_agglomerative_12,cluster_agglomerative_13,cluster_agglomerative_14,cluster_agglomerative_15,cluster_agglomerative_16,cluster_agglomerative_17,cluster_agglomerative_18,cluster_agglomerative_19,cluster_agglomerative_20
DB00366,-4.291513272216328,-1.801919066511914,1.0854506765247582,1.5180896646709494,-1.020029402371769,0.4480877495866489,0.4757405041000063,0.1267039693938831,0.3348729870784364,-0.3147481829601912,0.3728757005684043,0.0014993281510064,0.1998010411531287,0.2362541841649456,0.0444300587946081,-0.0992100581433743,-0.1630766106642908,0.0249320789177446,-0.0542951352855868,-0.282235868156593,0.5807096979843273,0.2165115644562089,0.0073726156801287,0.1901437118080592,-0.090139099883135,-0.1498309812305832,-0.124801000990985,-0.1417618528745597,-0.0462746689824268,0.1315733310249251,-0.2782279077746999,0.0189888393471764,-0.0926681991458941,-0.1145309126565697,-0.0202943455367413,0.029338476019975,0.0695861967482523,0.0227129043887529,-0.0824326902282794,0.0958300076468036,-0.0932190847530841,-0.0685855800845756,0.0685802328710714,0.0698415492103836,-0.0558787126525499,0.0844444836773538,-0.0342020421251563,0.0336171916362641,0.1433455927691179,-0.0119360736725815,-21.134003,-40.993214,2,1,6,1,5,4,10,6,10,2,13,1,7,15,15,16,4,4,4,4,4,4,4,4,1,1,0,15,15,15,15,15,4,4,4,1,0,4,4,4,4,4,4,4,1,0,3,3
DB01198,-0.8298157008812121,-0.6110111522392451,-1.9450683212348707,-0.6623953423614045,-0.1780055567154808,-0.6694383286627459,-0.6617523700670325,-0.0328214711128623,0.103761705747359,0.0964449956665648,-0.2087343312026593,-0.2350527767284664,-0.3386655116255181,-0.2926105875951007,-0.0624638994061152,0.1880820007700176,-0.3160673927556966,0.1272164081499147,0.0745053833774072,-0.0805434801422049,-0.0460878914171784,0.2435019521322407,-0.0883698677673905,0.0527811920953409,0.0143731233684018,0.0120741798143382,-0.0390036882908513,-0.1775168082357414,-0.0116827129140981,0.1355646890173682,0.0673350510924683,0.1298227292691299,0.1672999967751614,0.0476024054495901,-0.1296032930324939,-0.2127335013510851,-0.1060005312687459,-0.0560212834354251,0.1141822113037896,-0.1234117002788574,-0.290990946968427,0.0034964165156395,-0.0239294015226769,-0.0700954238408199,-0.1005922862234121,0.1286631046234769,-0.0913668358678463,-0.0046097828265254,0.0581017787568763,-0.0443533554189406,-21.749115,2.4030974,0,0,1,6,7,0,1,1,3,11,10,11,1,13,1,14,2,0,5,5,5,2,2,2,2,0,3,3,3,3,3,1,3,3,3,3,1,0,1,1,0,13,13,13,13,13,13,13
DB01400,-2.835265051995341,-1.1185279422070258,1.92007965717338,-0.4636244348146698,-0.5024785224324448,0.6731080599369778,-0.3016773284907761,-0.0767382854797557,-0.0039006550116559,-0.0253248647563649,0.1958218006802769,0.2383280027153071,-0.1279155630124708,-0.1742185093574545,0.2306775339762202,-0.1294067157038192,0.036671940668265,0.1378603607852236,0.2010113328411628,-0.2730380323845632,0.0776635800178461,-0.0687926720139399,-0.1182582371223381,0.0676630573509964,0.0433096400465643,0.0386419469035733,0.1498976474514566,-0.0828164412172839,-0.0508916406021131,0.0222790352361504,0.0302390580860541,-0.079550793313278,0.0789954910813647,-0.0915269221678603,0.0203991199147741,-0.0729603830696986,0.1429806131311088,-0.2145211676317629,-0.0554934347376978,-0.0729762393598355,0.028261784385648,0.1251301490196975,-0.0631803371155648,-0.1466692121095859,-0.0332446236722903,0.1013414538801356,0.0267092390871109,0.031243472978751,0.0008762937924072,-0.0413251422366515,-7.865111,-22.334415,2,1,6,1,5,4,2,2,2,8,4,13,13,8,7,10,1,1,1,0,8,8,3,1,0,13,13,13,13,13,13,13,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,4
DB01089,-2.470440260413284,2.2766647390898505,-0.9392021189156354,0.8467995081164753,0.4058763446771286,0.0075017612524079,0.1941475407659257,-0.0759045480238716,-0.2502273891106825,-0.0903179098445836,-0.1063324084398973,-0.1664147704295981,-0.5452872496606337,-0.1343229529535104,0.3946505640919258,-0.2073749754276738,-0.0958598495277091,-0.2242881826188931,0.0658911130635455,-0.0010213870956547,-0.156883069243207,-0.3914688415800229,-0.0496732176056025,0.0462276070570112,-0.374615143451445,0.0162864285302931,0.0085283843374088,0.0978114595200531,-0.1337518022101089,0.0870280507305323,-0.0654609444356768,0.2274705880534962,0.0052360811355904,-0.293893985902541,0.0079190106106073,-0.2484779324396207,-0.0602520512101619,-0.0281798040285448,-0.1169762992090208,-0.1388813978116478,0.1758624807750693,-0.0623208377064002,-0.1311937383577328,-0.2034266839024296,-0.0380635907330108,-0.0009880275983988,-0.0262405442458579,0.0292618366012286,0.0753208310078225,0.0896112474585026,-10.48132,30.535736,3,3,5,0,3,5,5,5,8,13,12,15,15,9,5,17,0,5,2,2,0,5,5,5,5,5,5,5,2,0,10,10,0,5,2,2,2,2,2,0,3,1,1,0,10,10,10,10
DB01168,-3.0606004347934226,-1.4690483799670515,1.9726486052987369,-0.5415874548731399,-0.3653471038393521,0.56882301901319,-0.463137826542087,-0.5150647123789358,-0.0642558463624976,-0.2072745044925651,0.7364769498807907,0.0072282595691115,0.1982385548485572,0.0261545877809293,0.120015693229771,0.0639115528714792,-0.070791390792381,0.1479270207523161,0.2328270125926311,-0.2645945667699534,-0.0564894318153842,0.0035915984298937,-0.0787125729115777,-0.1722436908023397,0.1875711849441908,0.1547386795614902,0.0962694526377301,-0.0550722878638102,0.0745069890380174,-0.070873730653914,0.0216343219639806,0.0235591075299631,0.0271416959290816,-0.1016311700254431,0.1011408371920016,0.0013135925494612,-0.1174518771913264,0.0091636345850128,-0.0276494687547225,-0.0968406408162377,0.0271963273407115,0.0082437050745084,-0.0493704275837934,-0.1375574395181897,0.0163266673736314,-0.1178991683121541,-0.1423811430158701,0.0308772936678198,-0.1119291860176104,-0.0444721663472298,-8.056235,-24.49063,2,1,6,1,5,4,2,2,2,8,4,13,13,8,7,10,1,1,1,0,8,8,3,1,0,13,13,13,13,13,13,13,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,4
DB00867,-3.816794413614658,-1.9286870341723248,0.92046720265796,0.858179772976548,-0.2072311457848262,0.6295846783826562,0.6285046924785421,0.7720521567156098,-0.7611258734721948,-0.4644389654564103,0.510984491032546,0.1413527024725969,0.1668440671731464,-0.021176966672996,-0.2274618762261025,0.0149191441008692,0.3228586383415574,-0.1599947498086181,-0.4290393148621098,-0.0026022928235899,-0.0623315864134134,0.1951220281216494,0.2505685663865926,0.0845974944403689,0.2106600039358855,0.1555009959126251,-0.1985017262198175,-0.1456015819731864,0.2236412177510823,-0.081281960768071,-0.0090994337505221,0.3330700251188761,0.0705846530985985,-0.0097746871583165,0.1801799841101432,0.11832171605396,-0.0964560802113195,0.2432125062678077,0.1973249068242685,0.0791449684143089,-0.0658815667601808,-0.0802463570920681,0.1412700787584726,0.0042150184403666,-0.0318606117005694,0.0381943741474364,-0.0085602375629262,-0.1207040135060733,-0.1616110592475335,0.0959773947078563,-17.355587,-36.44582,2,1,6,1,5,4,10,6,10,2,13,1,7,15,15,16,4,4,4,4,4,4,4,4,1,1,0,15,15,15,15,15,4,4,4,1,0,4,4,4,4,4,4,4,1,0,3,3
DB09020,-2.425569107753754,-2.1234366318612268,-0.0946308912378788,1.2426602295101017,0.1812149422664875,-0.182917490283048,0.887358084785029,-0.1084158614574484,-0.1409516199883854,-0.3755374976761039,0.1119448170294911,0.1021524906056858,-0.1539796574799689,-0.1064424334871058,-0.4976435819298602,0.2563459493905995,0.180284307119977,-0.3156107552519932,0.0663017747353592,-0.3062814749360443,0.0746538686659151,-0.0599462865090952,-0.2522579419563636,-0.0141185097440644,0.1298983379134969,-0.1642146079665329,-0.0088590348251988,-0.1653542325996108,-0.1204212993560945,0.0051097065903016,-0.1016581810369047,0.1323750188628578,0.0025771973680577,0.0290168165762817,0.0826197057125225,-0.0262189260019082,-0.0598404164646558,-0.1237307382078949,-0.0734023265164,0.0113052016254832,-0.2171556749130379,-0.0017680631593318,0.0495303005818827,0.0624729840655065,-0.1136917312006238,0.0634922908363224,-0.0486502064574324,-0.0689702339249133,-0.0534006385993439,-0.0604329760776071,-12.231098,-44.88923,2,1,6,1,5,2,10,6,10,2,13,1,7,5,15,16,4,4,4,4,4,4,4,4,1,1,0,15,15,15,15,15,4,4,4,1,0,4,4,4,4,4,4,4,1,0,3,3
DB00594,5.329899635295247,-1.2124603216654504,-0.0258634872669729,-0.3088493880364608,0.3276493153502767,-0.0124189808503535,-0.4580250454761085,-0.5805173096119668,0.0863361991336671,-0.2349338518824407,0.0314590376171752,-0.6738462812524139,0.3915284517537784,0.0877045592036705,-0.1375396595151696,-0.231725074877293,-0.0916660787475917,0.1457095671015492,0.1274356367322761,0.0417694906681799,0.0897627756537684,0.1043669780737482,-0.1016022679175457,0.0826364523441622,0.0641295135128509,-0.0947555991103312,0.2987658928927915,-0.0237966791727082,-0.0944144593055469,-0.0332423013833774,-0.0078526854688158,0.290424745008658,-0.0286537777935662,-0.0727718055395788,0.0674146132395956,0.0092048175295259,-0.050075920763693,0.1514484232055001,-0.0293679583783052,0.0490360635591467,0.0378673905787637,0.1114719704186831,-0.0271923362007115,-0.0034083748057269,0.0501530382769982,-0.0008176970636636,-0.2434906111249046,-0.0478556900528307,-0.0150675464308253,-0.058311836205293,30.449566,-27.073229,4,4,2,3,2,7,7,4,7,6,1,3,4,16,3,18,1,1,1,0,2,0,8,8,8,8,8,8,8,8,8,8,1,1,1,0,3,3,3,3,1,0,6,6,6,6,6,6
DB09063,-3.132583540743882,1.1237020770432669,-0.3327523395278756,1.360355310291253,-0.0261519928551645,-0.3243635892107886,-0.3010197280668923,-0.1923658379669777,-0.0224175654345719,0.004256747447871,-0.1276667179541683,-0.7378576617523822,-0.1399522714087394,0.1774936036655971,0.2315304368865603,0.0245006608403597,-0.037389668724676,-0.0712150955056471,-0.0733286319028013,0.2158867897587901,-0.2854578792504634,-0.0718524368743071,-0.2528912487201,0.1027122076300969,-0.118216126487995,0.0301561186791788,-0.1698635299631956,-0.0573971404663597,0.1050651169202518,-0.0117193403409856,-0.0943698625799035,-0.0773462861564945,0.0544924345104986,-0.0148946858956817,-0.0821458332422007,0.0371801285002768,-0.0307919406605275,-0.0056304745090114,0.1131551001130806,-0.1059245788918486,0.0042778394477952,-0.0189257365739105,0.0554636050896306,-0.0466670330747057,-0.068597777896964,-0.0604182906078357,0.064862417656809,-0.0276421477000107,0.0505401421588917,-0.0375274330043918,-43.313644,10.358496,0,0,1,6,7,0,1,1,3,7,2,12,5,0,8,0,2,0,5,5,5,2,2,2,2,0,14,14,14,14,14,14,3,3,3,3,1,0,1,1,0,7,7,7,7,7,7,7
DB08913,9.846091600443229,0.055319259108609,-0.6079563689951375,1.2377626282843346,-1.172054292766517,0.3836150624872447,-0.1282870691409056,-0.1544532735185034,-0.27520570565568,-0.1640085228060812,0.1055892553229594,0.1940854586424042,0.1294532904313062,-0.1298831689991835,-0.2954796213962528,-0.1061653222720137,-0.2549460687947261,0.0134335703550253,0.0405377030210821,0.1661863125786237,-0.2727705009498654,-0.107282545324089,-0.0110924040443997,-0.139484412557804,-0.0195266284704252,-0.0588799815947822,-0.0013106185914625,0.1105693956925114,-0.036102624232038,0.0832276453457392,-0.0492193888262457,-0.021723997838254,0.0513692539869234,-0.093794994539317,-0.1185375329711853,0.0601416159386266,-0.0214996075399471,-0.0175903218501425,0.0689698319999243,0.0376004363213514,-0.0269605239639886,-0.0041568027602167,0.0735170359177514,-0.0893577931100676,0.0076141613102896,0.0788701636812575,0.0044658338211683,0.0482960468070616,-0.0168480918818541,-0.0396286988600159,67.76212,3.532078,4,5,3,7,8,8,4,7,0,9,5,10,12,6,0,4,3,3,3,3,3,3,1,0,4,4,4,4,4,4,1,0,2,2,0,7,7,7,7,7,7,3,3,1,0,8,8,8
DB09068,-3.4230939729162024,-1.0063841880116773,-1.8855940834834497,0.3619994386924868,-0.8294130121614132,-0.5656715432690399,-0.0600085002058593,0.2903595735148759,0.1304019574059905,0.3643703889515919,0.221985375250268,0.0484395196151651,-0.1015360264320557,-0.0845913291279166,-0.0183281202348119,0.1608940080239138,-0.2244891044286008,0.0699782841951979,-0.1245006089460644,-0.0166852554812043,0.0330936499952754,0.0311150226242532,0.2669924470783868,-0.0463451702318055,0.1432539251652526,0.0296520182767083,-0.1559050465726565,-0.0002108611933437,0.0677606928343575,0.0813318783296389,0.0630492979539409,0.1887006061989482,0.0452388364771592,0.2726213318325963,0.0297915657561847,-0.3044497395178617,-0.0618185827411233,0.017565332559362,0.1173127657607421,-0.1230570736363161,0.105079879202841,-0.0171518120699321,0.0824759116836418,0.0208350639583891,-0.0057324946074245,0.0084044978435656,0.0133885121134246,0.0502419172474467,-0.0470502551955197,-0.1187718918081408,-36.370327,-2.7987757,0,0,1,6,7,0,1,1,3,7,2,12,5,0,8,0,2,0,5,5,5,2,2,2,2,0,14,14,14,14,14,14,3,3,3,3,1,0,1,1,0,7,7,7,7,7,7,7
